course_difficulty,course_type,age_group,past_course_history,weekly_login_frequency,avg_time_per_session_minutes,device_used,course_length_hours,has_certification,completion
medium,reading,26-35,16,6,35.03396726771658,mobile,3,N,Y
medium,video,36-45,13,7,34.67951933037297,mobile,15,N,Y
medium,video,26-35,9,2,33.30764138794893,mobile,20,N,Y
hard,reading,18-25,14,2,24.06507741406071,desktop,15,N,Y
easy,reading,18-25,5,4,39.92703181368603,mobile,15,N,N
hard,combined,36-45,16,5,11.275590312682855,desktop,15,Y,Y
easy,coding,18-25,11,7,29.210054535912924,desktop,15,N,Y
easy,reading,26-35,9,0,23.2335038813705,mobile,15,Y,N
easy,video,36-45,10,1,21.872424695195622,mobile,15,Y,Y
easy,coding,36-45,11,2,35.144973449442546,mobile,3,N,N
medium,video,26-35,0,2,42.929742512636196,mobile,3,N,Y
medium,video,26-35,2,3,25.88093085795761,mobile,8,N,Y
medium,combined,46-60,5,6,39.368173079109326,desktop,10,N,Y
medium,video,18-25,2,0,30.596887985335183,mobile,20,N,N
hard,video,18-25,9,6,19.287213489143898,desktop,8,N,Y
medium,video,18-25,14,4,26.904574881107234,mobile,5,N,N
easy,video,26-35,13,4,26.406169310500623,mobile,20,Y,Y
medium,reading,18-25,9,5,21.640081049934643,mobile,5,Y,Y
easy,reading,18-25,17,0,35.141795143870006,mobile,20,N,Y
hard,video,36-45,11,5,32.81575425245711,mobile,5,Y,N
easy,combined,26-35,1,1,10.912203620766984,mobile,8,N,Y
medium,coding,26-35,16,4,10.181688057127708,mobile,8,N,N
medium,coding,26-35,12,5,35.09621343846905,mobile,5,N,Y
hard,reading,26-35,13,4,20.216562854465586,mobile,1,Y,Y
medium,video,18-25,11,2,33.62449386120389,mobile,5,N,N
easy,combined,18-25,11,3,39.37117893731026,desktop,8,N,Y
easy,coding,36-45,1,3,14.74856595113329,mobile,8,N,Y
medium,reading,26-35,11,0,13.06155294508578,desktop,20,N,N
easy,video,18-25,16,5,50.093180188743546,desktop,1,Y,Y
easy,combined,46-60,6,0,34.21884939554951,mobile,8,N,Y
medium,combined,36-45,12,3,24.969112119920748,desktop,1,N,N
easy,coding,36-45,0,5,18.792714568244836,mobile,30,N,Y
medium,video,18-25,7,0,23.874709813112645,mobile,20,Y,N
hard,video,26-35,9,7,15.713131966640276,desktop,40,N,N
easy,video,18-25,20,3,40.60094608908708,mobile,30,Y,Y
medium,video,18-25,4,0,20.67898615672415,mobile,8,N,Y
easy,reading,18-25,5,5,43.12241505859521,desktop,15,Y,Y
easy,coding,36-45,8,4,25.192452962759866,mobile,8,N,Y
hard,video,26-35,20,5,17.479797796592223,desktop,20,N,N
medium,reading,26-35,17,6,24.884380943834383,mobile,8,N,N
medium,video,26-35,0,3,2.0,desktop,8,N,Y
hard,video,18-25,4,6,28.550777079911917,desktop,30,N,Y
easy,video,26-35,17,2,27.958569706438098,desktop,20,Y,Y
easy,video,18-25,1,4,39.89691295857561,mobile,30,Y,N
medium,combined,18-25,17,1,7.364340864199448,desktop,3,N,Y
medium,combined,18-25,5,4,43.94239633036257,mobile,5,N,N
easy,coding,60+,19,2,39.847191539971874,desktop,8,Y,Y
medium,video,18-25,6,5,45.02452276438395,mobile,8,N,N
medium,combined,18-25,9,6,29.36734348795035,mobile,10,N,N
easy,combined,26-35,13,6,42.16676200923307,mobile,5,N,Y
hard,video,18-25,2,7,12.34507158111714,mobile,20,Y,Y
hard,video,26-35,11,0,38.5565707824544,mobile,5,N,Y
medium,reading,26-35,10,1,20.746046854800657,mobile,15,N,N
medium,video,18-25,16,7,10.183178010924763,mobile,20,N,N
hard,combined,18-25,20,3,16.510313782027673,mobile,15,Y,Y
hard,combined,18-25,13,0,30.066373663551246,mobile,8,Y,N
hard,video,46-60,8,2,20.10840950138876,desktop,5,N,Y
hard,coding,18-25,8,6,34.5128823803496,mobile,3,Y,N
medium,video,36-45,8,2,8.301149339951792,mobile,15,N,Y
easy,reading,36-45,17,0,4.47482947660966,desktop,10,Y,N
hard,video,26-35,6,5,46.46864920972291,desktop,1,N,Y
easy,coding,36-45,3,1,40.845601552817214,mobile,40,N,Y
hard,video,36-45,7,2,17.40843796903431,desktop,15,Y,Y
easy,video,18-25,0,0,29.964004278353524,mobile,20,N,N
easy,reading,36-45,2,4,42.234084722415886,desktop,8,N,Y
hard,combined,18-25,1,3,35.030407299487266,desktop,30,N,Y
medium,reading,18-25,16,6,31.77867715420174,mobile,5,N,Y
hard,video,36-45,15,2,43.14184897575117,mobile,5,N,N
easy,reading,36-45,14,1,21.231450297585354,desktop,20,N,Y
hard,video,18-25,9,1,30.374141383975545,mobile,20,N,N
easy,video,26-35,15,1,29.7858163404913,desktop,10,Y,Y
medium,combined,46-60,3,3,26.72685542794749,mobile,3,Y,Y
easy,video,18-25,18,0,25.322333862950977,desktop,8,Y,Y
easy,video,26-35,10,3,30.87441885394189,mobile,20,Y,Y
medium,reading,26-35,19,6,30.41288995182633,mobile,20,N,Y
medium,video,26-35,3,6,17.41886828958569,desktop,8,N,N
hard,video,26-35,10,5,39.62155091880537,mobile,3,N,Y
hard,video,26-35,14,7,18.2833775068049,mobile,15,Y,N
easy,video,18-25,10,6,27.381198665433914,mobile,15,Y,Y
medium,video,26-35,9,5,26.45663432735938,desktop,8,N,N
easy,reading,18-25,3,6,34.29724335191059,mobile,10,N,Y
hard,coding,26-35,8,0,4.570752717392004,desktop,40,N,Y
easy,combined,26-35,5,6,40.690917779153494,mobile,5,N,Y
medium,combined,18-25,6,2,21.87611582865403,desktop,10,N,Y
easy,video,26-35,14,5,44.63955953732465,desktop,15,N,N
easy,video,26-35,13,7,24.262020905806146,mobile,10,Y,Y
medium,reading,60+,12,3,29.413876971191875,desktop,20,N,Y
hard,video,18-25,7,0,52.965432480821086,mobile,15,Y,Y
medium,reading,18-25,20,2,26.67194149447598,desktop,10,Y,N
hard,coding,18-25,1,3,44.866198616081505,desktop,3,Y,N
medium,video,36-45,7,7,30.46854102677472,mobile,15,N,Y
easy,coding,46-60,2,7,34.98502596352188,desktop,3,N,Y
medium,reading,46-60,7,4,30.839503072936495,desktop,1,N,Y
easy,video,18-25,20,7,40.17421951560149,mobile,10,N,N
hard,video,36-45,7,3,21.773620645763383,desktop,10,Y,N
easy,reading,36-45,19,3,18.191417723769774,desktop,40,N,N
easy,combined,26-35,10,6,22.337085715475737,mobile,15,N,Y
medium,video,18-25,14,5,31.19652451588909,mobile,20,Y,Y
medium,reading,18-25,9,4,27.350174573396046,mobile,8,N,N
easy,video,46-60,5,3,38.52329851765412,mobile,10,N,Y
hard,reading,36-45,16,5,45.65678039785824,desktop,40,Y,Y
easy,video,18-25,20,6,18.289939953179896,mobile,8,N,Y
medium,video,26-35,5,3,21.192614500632807,desktop,20,N,N
hard,reading,26-35,16,0,12.765126980245753,desktop,10,N,Y
medium,reading,18-25,5,0,54.364475889109244,desktop,5,N,Y
medium,video,26-35,15,1,33.656033989461925,desktop,10,N,Y
easy,coding,18-25,16,3,35.75762784061893,desktop,5,N,Y
easy,video,26-35,9,4,13.917499379627422,desktop,1,Y,Y
medium,video,36-45,15,6,29.985960131917505,mobile,5,N,Y
easy,coding,26-35,5,1,36.11097581295702,mobile,5,N,Y
easy,reading,46-60,1,6,26.9669077135869,desktop,8,N,N
easy,video,18-25,2,5,42.90846749791673,mobile,20,Y,Y
easy,video,46-60,9,0,57.74197350771396,desktop,8,N,N
hard,video,18-25,18,2,18.635246074872576,mobile,20,N,N
easy,coding,18-25,2,2,17.73495304827964,mobile,10,N,Y
medium,video,36-45,9,7,19.46692721365708,mobile,1,Y,Y
easy,video,18-25,14,7,49.27438992019789,desktop,5,N,Y
medium,video,18-25,4,6,42.50826380435621,mobile,30,N,N
easy,video,18-25,15,4,28.373666186476218,mobile,15,N,N
medium,combined,18-25,6,3,30.438715972810492,desktop,30,N,Y
hard,video,26-35,16,2,20.201476485639343,desktop,8,N,N
hard,coding,18-25,12,6,40.680325892918205,mobile,15,Y,N
easy,video,18-25,11,0,25.441178110697354,mobile,20,Y,N
medium,reading,26-35,3,2,26.87908152654001,mobile,40,N,N
medium,video,18-25,9,1,37.30547725835108,desktop,1,N,N
hard,reading,18-25,17,3,27.744060743001345,mobile,30,N,N
medium,reading,18-25,0,2,27.18040807802584,mobile,8,N,Y
easy,coding,18-25,15,1,30.126902466348902,desktop,20,Y,Y
easy,video,26-35,10,3,39.544264965516916,desktop,10,N,Y
medium,video,26-35,15,6,49.757916905806,desktop,10,N,Y
medium,video,18-25,13,4,37.025834786952984,mobile,8,Y,N
easy,video,26-35,9,6,39.63977068349121,mobile,20,N,Y
hard,video,36-45,6,7,27.601751254786507,desktop,5,Y,Y
easy,coding,26-35,13,7,21.506425641975397,desktop,10,Y,N
easy,coding,18-25,2,2,37.84783478682138,mobile,10,Y,Y
hard,combined,46-60,12,7,32.054889895206855,desktop,15,N,N
easy,reading,18-25,1,7,12.92845621500301,mobile,10,N,N
hard,reading,18-25,13,7,26.063164518892822,mobile,15,N,N
medium,coding,18-25,13,2,29.005235718221357,desktop,10,Y,N
easy,coding,36-45,1,1,23.874505595658256,mobile,15,N,Y
medium,reading,36-45,15,4,47.78082713450553,desktop,15,N,Y
hard,video,26-35,8,7,35.7580684428266,desktop,15,N,Y
hard,combined,26-35,16,7,46.478099014663776,desktop,20,Y,Y
medium,coding,26-35,0,4,33.16110313982591,mobile,10,N,Y
easy,video,18-25,3,1,30.976654037100932,desktop,5,N,Y
medium,video,26-35,10,3,18.760826188677008,desktop,15,Y,Y
easy,combined,36-45,3,5,30.1431543983588,desktop,3,N,Y
medium,combined,26-35,6,4,30.156647108105282,desktop,5,Y,N
hard,combined,18-25,13,2,13.594633391589202,desktop,20,Y,N
medium,video,18-25,3,2,23.52567036275526,desktop,8,N,Y
medium,video,18-25,14,0,26.12060881780365,mobile,10,N,Y
medium,video,36-45,2,2,34.961754528668656,mobile,40,N,Y
medium,video,18-25,3,5,35.53620134382847,mobile,5,N,Y
medium,combined,26-35,12,1,23.024178216417543,mobile,1,N,N
hard,video,46-60,16,7,35.62643523050262,desktop,3,N,Y
medium,reading,36-45,3,0,27.815052847817796,mobile,5,N,Y
medium,reading,60+,6,4,2.0,mobile,15,N,Y
medium,video,36-45,19,3,24.183575616581493,mobile,20,N,N
easy,video,18-25,20,6,42.94786368170854,mobile,10,N,N
easy,coding,36-45,12,7,9.818330920467844,mobile,5,N,Y
medium,reading,26-35,9,4,31.352294404986484,mobile,10,N,Y
hard,combined,26-35,7,5,49.02313457022345,desktop,1,N,Y
hard,reading,26-35,12,5,20.872644563874232,desktop,15,N,N
medium,combined,36-45,12,4,30.02578896513223,mobile,15,N,Y
hard,reading,26-35,6,1,14.351804913264946,desktop,1,N,N
medium,combined,18-25,0,3,49.52677369996287,mobile,20,N,N
easy,video,26-35,3,1,29.00000847604063,desktop,20,N,N
hard,video,26-35,20,3,30.559522113528217,mobile,8,Y,N
medium,video,18-25,8,4,46.25160558606747,mobile,15,Y,Y
easy,combined,26-35,10,1,37.93774073574578,mobile,15,N,Y
medium,coding,18-25,9,1,19.49245521003912,mobile,3,N,N
medium,combined,46-60,16,6,22.23266491095221,desktop,5,Y,Y
easy,video,18-25,1,3,35.93917565427958,mobile,15,N,Y
medium,combined,18-25,1,1,22.51054733924472,desktop,30,Y,Y
hard,combined,36-45,5,5,4.593080254553676,mobile,10,N,N
hard,video,18-25,10,5,29.361110416331066,desktop,10,N,N
easy,reading,26-35,14,6,12.237448066502289,mobile,15,N,N
easy,coding,18-25,10,6,49.39538104276471,desktop,8,N,Y
hard,coding,26-35,9,7,32.121451653157834,desktop,3,Y,Y
hard,video,26-35,19,4,19.137899319077093,mobile,8,N,N
easy,video,18-25,3,2,21.616411024050556,mobile,30,Y,N
medium,combined,26-35,12,6,7.327228945512957,desktop,20,N,Y
easy,video,18-25,11,2,16.806457358633956,mobile,30,Y,N
hard,video,26-35,9,2,42.19587843048839,mobile,5,N,Y
medium,video,36-45,16,6,56.7814337459087,desktop,10,N,Y
medium,coding,18-25,5,7,38.716758158387506,mobile,10,N,Y
easy,video,36-45,20,2,28.89548953654765,desktop,5,N,Y
medium,video,36-45,6,5,24.816487492153,mobile,5,Y,N
medium,coding,46-60,11,7,18.522050237083654,desktop,20,N,N
easy,video,26-35,10,6,54.717190792076885,desktop,15,N,Y
medium,combined,46-60,17,0,27.7350155776275,desktop,15,Y,Y
hard,video,36-45,9,5,55.38755796075005,mobile,5,N,N
easy,coding,36-45,5,1,46.72223411532073,desktop,10,N,Y
easy,video,26-35,0,6,9.110442823844718,mobile,1,N,Y
easy,combined,26-35,7,0,22.0085712508885,desktop,3,Y,Y
medium,video,26-35,17,7,21.971458509914132,mobile,10,N,Y
easy,video,26-35,0,1,29.041843630731126,desktop,8,N,Y
hard,video,46-60,18,3,29.27622896263496,mobile,30,N,N
hard,reading,26-35,11,1,65.95486914477772,desktop,10,N,Y
hard,reading,36-45,2,6,17.073265506302896,mobile,3,N,N
medium,reading,26-35,6,3,32.74763922797268,mobile,1,Y,Y
hard,video,26-35,11,5,37.39809290961364,mobile,15,Y,Y
medium,reading,18-25,6,0,29.981135946369644,mobile,5,N,Y
easy,coding,18-25,2,3,31.322166933376295,mobile,5,N,Y
easy,video,18-25,13,7,17.462293268320956,mobile,8,N,N
easy,coding,26-35,14,7,31.277834335232182,mobile,5,N,Y
hard,reading,18-25,2,1,36.13678795409246,desktop,15,N,N
easy,video,36-45,5,3,33.93120701125354,mobile,10,N,Y
easy,video,26-35,5,3,36.8424108469451,mobile,3,N,Y
easy,video,18-25,13,4,46.95129480763478,desktop,20,N,Y
easy,coding,36-45,15,4,41.2435985029721,mobile,8,N,Y
medium,coding,26-35,15,0,30.855535361969242,desktop,15,N,N
medium,video,26-35,19,6,15.938899777400664,mobile,1,N,Y
easy,coding,18-25,16,1,22.799936703466567,desktop,15,Y,Y
easy,combined,26-35,6,2,27.364426176991017,mobile,5,Y,Y
easy,combined,18-25,2,6,33.02814997609737,desktop,10,N,Y
medium,combined,18-25,12,5,24.26000686200726,mobile,5,N,Y
easy,combined,36-45,19,3,18.77120160978778,mobile,40,N,Y
easy,video,18-25,20,7,15.741615730555955,desktop,5,N,Y
easy,reading,46-60,4,3,10.185866891333628,mobile,30,N,Y
medium,reading,26-35,4,4,27.180591554705174,desktop,30,N,N
medium,video,18-25,0,1,12.364014695156339,desktop,8,Y,Y
hard,video,26-35,2,1,17.993691790111292,mobile,8,N,N
hard,video,36-45,11,3,25.27317752586837,desktop,8,Y,Y
easy,video,36-45,11,4,13.968992287302793,desktop,40,Y,Y
medium,video,36-45,7,6,34.55702626198436,mobile,15,N,N
easy,reading,36-45,6,3,38.88267676326825,desktop,10,Y,N
hard,video,18-25,17,7,23.40687576269522,mobile,1,Y,Y
easy,video,18-25,9,4,24.75567230867998,desktop,20,N,Y
easy,reading,18-25,16,0,36.44915724166893,desktop,3,N,Y
easy,video,26-35,20,5,21.432058833183852,mobile,1,Y,Y
easy,coding,18-25,6,4,20.607193060832458,mobile,5,N,N
medium,combined,26-35,4,3,44.35798173823548,mobile,10,N,Y
medium,coding,18-25,20,3,40.610252864553445,mobile,20,N,Y
hard,coding,18-25,13,2,37.218600028127035,desktop,20,N,Y
hard,video,18-25,6,4,41.10773545672912,desktop,5,Y,N
hard,reading,46-60,13,4,6.272655295591644,desktop,8,N,N
easy,video,26-35,10,3,46.24602656151729,mobile,20,N,Y
easy,coding,36-45,19,2,34.704745399004906,desktop,10,Y,Y
easy,video,26-35,5,3,42.12937660806882,mobile,5,N,Y
hard,video,26-35,20,3,34.64594134939635,desktop,8,Y,Y
hard,video,18-25,19,3,30.587097896161875,mobile,15,N,Y
medium,reading,18-25,3,2,26.696289451655346,desktop,40,N,N
easy,reading,36-45,3,4,34.405732522634466,mobile,15,N,Y
hard,video,26-35,11,1,26.259025093145375,desktop,1,N,Y
easy,coding,18-25,0,4,40.41451320078135,desktop,15,Y,Y
hard,video,26-35,6,0,10.962520265373595,desktop,5,N,N
hard,video,36-45,9,3,23.501089658468665,mobile,20,Y,Y
easy,reading,26-35,20,6,54.53787898171976,mobile,8,N,Y
medium,video,18-25,20,6,22.487034437131292,mobile,5,Y,Y
medium,coding,26-35,3,5,27.135795323238263,desktop,10,N,Y
easy,combined,26-35,18,5,19.409028799799085,mobile,5,N,Y
hard,video,26-35,1,0,34.030148074629885,desktop,5,N,Y
easy,video,36-45,15,2,21.16482131829366,desktop,10,N,Y
easy,video,18-25,17,5,27.7726687823154,desktop,20,N,Y
hard,combined,26-35,18,6,40.186398432420845,mobile,20,N,Y
easy,reading,36-45,4,4,21.61483897422221,mobile,8,Y,Y
medium,coding,18-25,18,6,39.46333343118265,desktop,3,N,Y
easy,video,18-25,2,2,39.86675178672428,mobile,10,Y,N
medium,reading,46-60,10,1,42.659473136631526,mobile,8,N,Y
easy,combined,36-45,9,0,31.686491939016484,mobile,5,N,Y
hard,combined,26-35,6,4,68.89510892372144,mobile,20,Y,Y
medium,video,18-25,0,5,42.65440435850498,desktop,40,Y,Y
easy,reading,18-25,16,2,33.898531492881915,mobile,3,N,N
easy,reading,26-35,7,6,19.488907031019178,mobile,20,N,Y
medium,video,46-60,13,5,28.835290489510307,mobile,15,Y,N
medium,combined,18-25,8,2,47.1159237228004,mobile,5,N,Y
hard,reading,46-60,7,1,50.51441538751523,mobile,15,Y,N
easy,reading,18-25,18,5,47.739949205282755,mobile,3,N,Y
easy,coding,46-60,1,5,39.42230768075544,desktop,3,Y,Y
easy,reading,18-25,15,1,14.932077524453137,desktop,40,N,Y
easy,reading,26-35,15,2,35.84594181390804,mobile,15,Y,N
medium,combined,18-25,7,3,15.103171463364028,mobile,5,N,N
medium,video,18-25,5,4,12.150345679430899,desktop,10,N,N
easy,video,18-25,0,1,32.86990421492686,desktop,30,Y,Y
hard,video,36-45,19,7,36.278393367237,mobile,8,N,Y
medium,video,46-60,19,3,40.84052518176966,desktop,30,Y,Y
medium,video,36-45,5,3,35.965634884633126,desktop,20,N,Y
medium,video,18-25,0,0,36.37903182891298,mobile,8,N,N
medium,combined,26-35,2,7,18.184168980091485,mobile,15,N,N
hard,coding,46-60,1,1,28.740279783784004,mobile,15,Y,N
medium,video,18-25,17,7,11.914598572386147,mobile,20,N,Y
easy,reading,26-35,18,3,5.9595704471976525,mobile,8,N,Y
easy,video,26-35,3,6,38.887712518116885,mobile,3,N,Y
easy,video,46-60,15,1,20.962507274508496,desktop,5,N,Y
easy,combined,46-60,3,1,40.46998202571664,mobile,15,N,N
easy,combined,26-35,7,6,43.30017093456046,mobile,20,N,Y
medium,reading,46-60,12,6,22.56819210452163,desktop,20,Y,Y
easy,combined,18-25,15,4,37.08373313466359,mobile,10,N,Y
medium,video,26-35,18,0,22.0661192566363,mobile,3,N,N
hard,video,26-35,0,7,7.849453504478113,desktop,1,N,N
hard,combined,26-35,4,3,31.4797128533095,mobile,20,Y,N
easy,video,18-25,5,7,24.34951344341087,mobile,10,Y,Y
medium,coding,26-35,6,6,24.71893187295442,mobile,20,Y,Y
easy,reading,26-35,20,6,53.7041174141463,desktop,5,N,Y
medium,video,18-25,16,5,11.689716207207937,mobile,8,N,N
medium,reading,26-35,6,5,34.59445362445765,mobile,30,N,Y
easy,reading,46-60,20,4,18.06231315426298,mobile,5,Y,Y
easy,coding,36-45,10,0,40.89913691120789,mobile,3,N,Y
easy,reading,36-45,10,3,33.58117483410079,mobile,15,N,Y
easy,combined,26-35,9,5,34.55213219016736,mobile,10,Y,Y
medium,video,26-35,3,6,18.66132458877288,mobile,30,Y,Y
easy,video,46-60,19,4,20.812945040540118,desktop,30,N,N
medium,reading,18-25,0,5,41.12700608815064,mobile,15,Y,N
easy,combined,18-25,3,0,51.24957266073075,desktop,1,N,Y
hard,combined,26-35,4,3,35.76369380669024,mobile,10,Y,Y
easy,video,36-45,5,4,19.230951350742806,desktop,20,N,N
hard,video,26-35,2,7,34.06726226954482,mobile,8,N,Y
medium,coding,18-25,0,2,59.129664532051315,desktop,30,N,N
medium,coding,18-25,14,1,31.22907372862694,desktop,15,N,N
medium,video,18-25,20,2,47.54209031272319,mobile,3,N,Y
easy,reading,26-35,2,1,21.116047609935457,mobile,10,Y,Y
easy,video,18-25,6,4,29.49496738036336,desktop,15,Y,Y
medium,combined,18-25,10,5,37.43478247350651,mobile,3,N,Y
easy,video,36-45,19,6,34.76793969915437,mobile,8,Y,Y
easy,video,26-35,14,7,20.803335838666072,mobile,15,Y,Y
easy,video,26-35,16,0,20.285790514432804,mobile,5,N,Y
hard,combined,18-25,12,1,41.8594128372319,mobile,8,N,Y
easy,reading,26-35,8,2,44.29860975180174,mobile,15,N,Y
hard,video,46-60,4,1,48.14572269746304,desktop,20,N,Y
easy,coding,46-60,18,6,51.64716579903441,desktop,10,Y,Y
